K = Q(sqrt(-67)) = Q(a), disc(K) = -67, min poly(a) = x^2-x+17.
4 [4,0,2] (2) 2 1 2
9 [9,0,3] (3) 3 1 2
17 [17,0,1] (a) 17 1 1
17 [17,16,1] (-1+a) 17 1 1
19 [19,1,1] (1+a) 19 1 1
19 [19,17,1] (-2+a) 19 1 1
23 [23,2,1] (2+a) 23 1 1
23 [23,20,1] (-3+a) 23 1 1
25 [25,0,5] (5) 5 1 2
29 [29,3,1] (3+a) 29 1 1
29 [29,25,1] (-4+a) 29 1 1
37 [37,4,1] (4+a) 37 1 1
37 [37,32,1] (-5+a) 37 1 1
47 [47,5,1] (5+a) 47 1 1
47 [47,41,1] (-6+a) 47 1 1
49 [49,0,7] (7) 7 1 2
59 [59,6,1] (6+a) 59 1 1
59 [59,52,1] (-7+a) 59 1 1
67 [67,33,1] (-1+2a) 67 2 1
71 [71,34,1] (-3+2a) 71 1 1
71 [71,36,1] (1+2a) 71 1 1
73 [73,7,1] (7+a) 73 1 1
73 [73,65,1] (-8+a) 73 1 1
83 [83,39,1] (-5+2a) 83 1 1
83 [83,43,1] (3+2a) 83 1 1
89 [89,8,1] (8+a) 89 1 1
89 [89,80,1] (-9+a) 89 1 1
